province,district,municipality
Sudurpashchim,Achham,Bannigadhi Jaygadh
Sudurpashchim,Achham,Chaurpati
Sudurpashchim,Achham,Dhakari
Sudurpashchim,Achham,Kamalbazar
Sudurpashchim,Achham,Mangalsen
Sudurpashchim,Achham,Mellekh
Sudurpashchim,Achham,Panchadewal Binayak
Sudurpashchim,Achham,Ramaroshan
Sudurpashchim,Achham,Sanphebagar
Sudurpashchim,Achham,Turmakhad
Lumbini,Arghakhanchi,Bhumikasthan
Lumbini,Arghakhanchi,Chhatradev
Lumbini,Arghakhanchi,Malarani
Lumbini,Arghakhanchi,Panini
Lumbini,Arghakhanchi,Sandhikharka
Lumbini,Arghakhanchi,Shitaganga
Gandaki,Baglung,Badigad
Gandaki,Baglung,Bareng
Gandaki,Baglung,Dhorpatan
Gandaki,Baglung,Galkot
Gandaki,Baglung,Jaimini
Gandaki,Baglung,Kathekhola
Gandaki,Baglung,Nisikhola
Gandaki,Baglung,Taman Khola
Gandaki,Baglung,Tara Khola
Sudurpashchim,Baitadi,Dasharathchand
Sudurpashchim,Baitadi,Dilashaini
Sudurpashchim,Baitadi,Dogdakedar
Sudurpashchim,Baitadi,Melauli
Sudurpashchim,Baitadi,Pancheshwar
Sudurpashchim,Baitadi,Patan
Sudurpashchim,Baitadi,Purchaudi
Sudurpashchim,Baitadi,Shivanath
Sudurpashchim,Baitadi,Sigas
Sudurpashchim,Baitadi,Surnaya
Sudurpashchim,Bajhang,Bitthadchir
Sudurpashchim,Bajhang,Bungal
Sudurpashchim,Bajhang,Chhabispathibhera
Sudurpashchim,Bajhang,Durgathali
Sudurpashchim,Bajhang,Jaya Prithvi
Sudurpashchim,Bajhang,Kedarsyu
Sudurpashchim,Bajhang,Khaptadchhanna
Sudurpashchim,Bajhang,Masta
Sudurpashchim,Bajhang,Saipal [Kanda]
Sudurpashchim,Bajhang,Surma
Sudurpashchim,Bajhang,Talkot
Sudurpashchim,Bajhang,Thalara
Sudurpashchim,Bajura,Badimalika
Sudurpashchim,Bajura,Budhiganga
Sudurpashchim,Bajura,Budhinanda
Sudurpashchim,Bajura,Chhededaha
Sudurpashchim,Bajura,Gaumul
Sudurpashchim,Bajura,Himali
Sudurpashchim,Bajura,Jagannath [Pandav Gupha]
Sudurpashchim,Bajura,Swamikartik Khapar
Sudurpashchim,Bajura,Triveni
Lumbini,Banke,Baijanath
Lumbini,Banke,Duduwa
Lumbini,Banke,Janaki
Lumbini,Banke,Khajura
Lumbini,Banke,Kohalpur
Lumbini,Banke,Narainapur
Lumbini,Banke,Nepalganj
Lumbini,Banke,Rapti Sonari
Madhesh,Bara,Adarsha Kotwal
Madhesh,Bara,Baragadhi
Madhesh,Bara,Bishrampur
Madhesh,Bara,Devtal
Madhesh,Bara,Jitpur Simara
Madhesh,Bara,Kalaiya
Madhesh,Bara,Karaiyamai
Madhesh,Bara,Kolhabi
Madhesh,Bara,Mahagadhimai
Madhesh,Bara,Nijgadh
Madhesh,Bara,Pachrauta
Madhesh,Bara,Parawanipur
Madhesh,Bara,Pheta
Madhesh,Bara,Prasauni
Madhesh,Bara,Simraungadh
Madhesh,Bara,Suwarna
Lumbini,Bardiya,Badhaiyatal
Lumbini,Bardiya,Bansgadhi
Lumbini,Bardiya,Barbardiya
Lumbini,Bardiya,Geruwa
Lumbini,Bardiya,Gulariya
Lumbini,Bardiya,Madhuwan
Lumbini,Bardiya,Rajapur
Lumbini,Bardiya,Thakurbaba
Bagmati,Bhaktapur,Changunarayan
Bagmati,Bhaktapur,Madhyapur Thimi
Bagmati,Bhaktapur,Suryabinayak
Koshi,Bhojpur,Aamchok
Koshi,Bhojpur,Arun
Koshi,Bhojpur,Hatuwagadhi
Koshi,Bhojpur,Pauwadungma
Koshi,Bhojpur,Ramprasad Rai
Koshi,Bhojpur,Salpasilichho
Koshi,Bhojpur,Shadananda
Koshi,Bhojpur,Tyamkemaiyung
Bagmati,Chitwan,Bharatpur
Bagmati,Chitwan,Ichchhakamana
Bagmati,Chitwan,Kalika
Bagmati,Chitwan,Khairhani
Bagmati,Chitwan,Madi
Bagmati,Chitwan,Rapti
Bagmati,Chitwan,Ratnanagar
Sudurpashchim,Dadeldhura,Aalital
Sudurpashchim,Dadeldhura,Ajaymeru
Sudurpashchim,Dadeldhura,Amargadhi
Sudurpashchim,Dadeldhura,Bhageshwar
Sudurpashchim,Dadeldhura,Ganyapadhura
Sudurpashchim,Dadeldhura,Navadurga
Sudurpashchim,Dadeldhura,Parshuram
Karnali,Dailekh,Aathabis
Karnali,Dailekh,Bhagawatimai
Karnali,Dailekh,Bhairabi
Karnali,Dailekh,Chamunda Bindrasaini
Karnali,Dailekh,Dullu
Karnali,Dailekh,Dungeshwar
Karnali,Dailekh,Gurans
Karnali,Dailekh,Mahabu
Karnali,Dailekh,Narayan
Karnali,Dailekh,Naumule
Karnali,Dailekh,Thantikandh
Lumbini,Dang Deukhuri,Babai
Lumbini,Dang Deukhuri,Banglachuli
Lumbini,Dang Deukhuri,Dangisharan
Lumbini,Dang Deukhuri,Gadhawa
Lumbini,Dang Deukhuri,Ghorahi
Lumbini,Dang Deukhuri,Lamahi
Lumbini,Dang Deukhuri,Rajpur
Lumbini,Dang Deukhuri,Rapti
Lumbini,Dang Deukhuri,Shantinagar
Lumbini,Dang Deukhuri,Tulsipur
Sudurpashchim,Darchula,Apihimal
Sudurpashchim,Darchula,Byans
Sudurpashchim,Darchula,Duhun
Sudurpashchim,Darchula,Lekam
Sudurpashchim,Darchula,Mahakali
Sudurpashchim,Darchula,Malikarjun
Sudurpashchim,Darchula,Marma
Sudurpashchim,Darchula,Naugad
Sudurpashchim,Darchula,Shailyashikhar
Bagmati,Dhading,Benighat Rorang
Bagmati,Dhading,Dhunibeshi
Bagmati,Dhading,Gajuri
Bagmati,Dhading,Galchhi
Bagmati,Dhading,Gangajamuna
Bagmati,Dhading,Jwalamukhi
Bagmati,Dhading,Khaniyabas
Bagmati,Dhading,Netrawati Dabjong
Bagmati,Dhading,Nilkantha
Bagmati,Dhading,Rubi Bhyali [Rubi Valley]
Bagmati,Dhading,Siddhalek
Bagmati,Dhading,Thakre
Bagmati,Dhading,Tripurasundari
Koshi,Dhankuta,Chaubise
Koshi,Dhankuta,Chhathar Jorpati
Koshi,Dhankuta,Mahalaxmi
Koshi,Dhankuta,Pakhribas
Koshi,Dhankuta,Sahidbhumi [Khalsachhintang Shahidbhumi]
Koshi,Dhankuta,Sangurigadhi
Madhesh,Dhanusha,Aurahi
Madhesh,Dhanusha,Bateshwar
Madhesh,Dhanusha,Bidehi
Madhesh,Dhanusha,Chhireshwarnath
Madhesh,Dhanusha,Dhanauji
Madhesh,Dhanusha,Dhanushadham
Madhesh,Dhanusha,Ganeshman Charnath
Madhesh,Dhanusha,Hansapur
Madhesh,Dhanusha,Janaknandini
Madhesh,Dhanusha,Janakpur
Madhesh,Dhanusha,Kamala
Madhesh,Dhanusha,Lakshminiya
Madhesh,Dhanusha,Mithila
Madhesh,Dhanusha,Mithila Bihari
Madhesh,Dhanusha,Mukhiyapatti Musharmiya
Madhesh,Dhanusha,Nagrain
Madhesh,Dhanusha,Sabaila
Madhesh,Dhanusha,Shahidnagar
Bagmati,Dolakha,Baiteshwar
Bagmati,Dolakha,Bhimeshwar
Bagmati,Dolakha,Bigu
Bagmati,Dolakha,Gaurishankar
Bagmati,Dolakha,Jiri
Bagmati,Dolakha,Kalinchok
Bagmati,Dolakha,Melung
Bagmati,Dolakha,Shailung
Bagmati,Dolakha,Tamakoshi
Karnali,Dolpa,Chharka Tangsong
Karnali,Dolpa,Dolpo Buddha
Karnali,Dolpa,Jagdulla
Karnali,Dolpa,Kaike
Karnali,Dolpa,Mudkechula
Karnali,Dolpa,She Phoksundo
Karnali,Dolpa,Thuli Bheri
Karnali,Dolpa,Tripurasundari
Sudurpashchim,Doti,Aadarsha
Sudurpashchim,Doti,Badikedar
Sudurpashchim,Doti,Bogtan Phudsil
Sudurpashchim,Doti,Dipayal Silgadhi
Sudurpashchim,Doti,Jorayal
Sudurpashchim,Doti,K.I. Singh
Sudurpashchim,Doti,Purbichauki
Sudurpashchim,Doti,Sayal
Sudurpashchim,Doti,Shikhar
Lumbini,East Rukum,Bhume
Lumbini,East Rukum,Putha Uttarganga
Lumbini,East Rukum,Sisne
Gandaki,Gorkha,Aarughat
Gandaki,Gorkha,Ajirkot
Gandaki,Gorkha,Bhimsen
Gandaki,Gorkha,Chumanuwri
Gandaki,Gorkha,Dharche
Gandaki,Gorkha,Gandaki
Gandaki,Gorkha,Palungtar
Gandaki,Gorkha,Shahid Lakhan
Gandaki,Gorkha,Siranchok
Gandaki,Gorkha,Sulikot
Lumbini,Gulmi,Chandrakot
Lumbini,Gulmi,Chhatrakot
Lumbini,Gulmi,Dhurkot
Lumbini,Gulmi,Gulmi Darbar
Lumbini,Gulmi,Isma
Lumbini,Gulmi,Kaligandaki
Lumbini,Gulmi,Madane
Lumbini,Gulmi,Malika
Lumbini,Gulmi,Musikot
Lumbini,Gulmi,Resunga
Lumbini,Gulmi,Ruru
Lumbini,Gulmi,Satyawati
Karnali,Humla,Adanchuli
Karnali,Humla,Chankheli
Karnali,Humla,Kharpunath
Karnali,Humla,Namkha
Karnali,Humla,Sarkegad
Karnali,Humla,Simkot
Karnali,Humla,Tanjakot
Koshi,Ilam,Chulachuli
Koshi,Ilam,Deumai
Koshi,Ilam,Mai
Koshi,Ilam,Maijogmai
Koshi,Ilam,Mangsebung
Koshi,Ilam,Phakphokthum
Koshi,Ilam,Rong
Koshi,Ilam,Sandakpur
Koshi,Ilam,Suryodaya
Karnali,Jajarkot,Barekot
Karnali,Jajarkot,Bheri
Karnali,Jajarkot,Chhedagad
Karnali,Jajarkot,Junichande
Karnali,Jajarkot,Kuse
Karnali,Jajarkot,Nalgad [Triveni Nalgad]
Karnali,Jajarkot,Shivalaya
Koshi,Jhapa,Arjundhara
Koshi,Jhapa,Bahradashi
Koshi,Jhapa,Bhadrapur
Koshi,Jhapa,Birtamod
Koshi,Jhapa,Buddhashanti
Koshi,Jhapa,Damak
Koshi,Jhapa,Gauradaha
Koshi,Jhapa,Gaurigunj
Koshi,Jhapa,Haldibari
Koshi,Jhapa,Kachankawal
Koshi,Jhapa,Kamal
Koshi,Jhapa,Kankai
Koshi,Jhapa,Mechinagar
Koshi,Jhapa,Shivasatakshi
Karnali,Jumla,Chandannath
Karnali,Jumla,Guthichaur
Karnali,Jumla,Hima
Karnali,Jumla,Kankasundari
Karnali,Jumla,Patarasi
Karnali,Jumla,Sinja
Karnali,Jumla,Tatopani
Karnali,Jumla,Tila
Sudurpashchim,Kailali,Bardagoriya
Sudurpashchim,Kailali,Bhajani
Sudurpashchim,Kailali,Chure
Sudurpashchim,Kailali,Dhangadhi
